truck_id,fleet_id,unit_number,make,model,year,plate,vin_stub,mpg,fuel_cost_per_gallon,driver_pay_per_mile,maintenance_cost_per_mile,fixed_cost_per_month,estimated_fuel_cost_per_mile,estimated_total_cost_per_mile,odometer_miles,avg_daily_miles,status,created_at
T0029,1004,1004-029,International,LT,2011,IA-431P12,TRAVECTIO00029VIN,7.72,3.39,0.62,0.12,2055.02,0.439,1.385,589299,337,active,2025-09-11
T0030,1034,1034-030,Kenworth,T680,2024,UT-414H17,TRAVECTIO00030VIN,7.08,3.98,0.76,0.12,2390.82,0.562,1.681,569552,335,active,2025-09-11
T0031,1112,1112-031,International,LT,2012,AL-849P18,TRAVECTIO00031VIN,5.55,3.85,0.85,0.16,2800.3,0.694,1.984,408089,351,standby,2025-09-11
T0032,1033,1033-032,Peterbilt,579,2013,CO-586R31,TRAVECTIO00032VIN,8.46,4.13,0.87,0.19,2372.02,0.488,1.785,418914,362,active,2025-09-11
T0033,1015,1015-033,International,LT,2024,IA-533G79,TRAVECTIO00033VIN,6.74,3.99,0.76,0.22,2491.05,0.592,1.821,440314,387,active,2025-09-11
T0034,1055,1055-034,Mack,Anthem,2015,OH-787U57,TRAVECTIO00034VIN,5.2,4.32,0.87,0.04,2338.6,0.831,1.975,700604,367,shop,2025-09-11
T0035,1118,1118-035,International,LT,2018,NC-353H18,TRAVECTIO00035VIN,7.69,3.64,0.62,0.15,2445.11,0.473,1.488,679683,362,active,2025-09-11
T0036,1033,1033-036,Freightliner,Cascadia,2020,WI-335S38,TRAVECTIO00036VIN,6.97,4.3,0.77,0.2,2398.27,0.617,1.827,738409,374,active,2025-09-11
T0037,1079,1079-037,Freightliner,Cascadia,2022,OK-160H18,TRAVECTIO00037VIN,6.96,4.37,0.89,0.21,2642.21,0.628,1.992,312839,527,active,2025-09-11
T0038,1091,1091-038,Kenworth,T680,2012,MO-343I95,TRAVECTIO00038VIN,5.88,4.11,0.74,0.2,1898.29,0.699,1.829,488562,417,shop,2025-09-11
T0039,1033,1033-039,Peterbilt,579,2019,SC-840S83,TRAVECTIO00039VIN,8.09,4.16,0.87,0.24,2102.34,0.514,1.834,302687,433,shop,2025-09-11
T0040,1087,1087-040,Peterbilt,579,2023,IL-926N34,TRAVECTIO00040VIN,7.36,3.9,0.73,0.19,2750.28,0.53,1.725,429231,381,active,2025-09-11
T0041,1047,1047-041,Freightliner,Cascadia,2021,MI-462N62,TRAVECTIO00041VIN,5.92,3.5,0.65,0.13,2837.8,0.591,1.655,191593,322,shop,2025-09-11
T0042,1074,1074-042,Mack,Anthem,2011,CO-769U22,TRAVECTIO00042VIN,5.74,4.57,0.67,0.29,2603.93,0.796,2.016,567811,350,active,2025-09-11
T0043,1074,1074-043,Volvo,VNL,2022,VA-919D41,TRAVECTIO00043VIN,4.8,4.8,0.55,0.23,1644.17,1.0,1.944,742770,504,active,2025-09-11
T0044,1064,1064-044,Peterbilt,579,2019,IN-243N33,TRAVECTIO00044VIN,7.25,4.21,0.84,0.19,2541.37,0.581,1.865,462504,374,active,2025-09-11
T0045,1009,1009-045,Volvo,VNL,2014,NY-177O80,TRAVECTIO00045VIN,6.2,3.9,0.74,0.13,1522.82,0.629,1.651,317569,396,active,2025-09-11
T0046,1103,1103-046,Freightliner,Cascadia,2021,WI-956A21,TRAVECTIO00046VIN,7.91,4.32,0.63,0.23,1571.8,0.546,1.563,332101,359,active,2025-09-11
T0047,1041,1041-047,Peterbilt,579,2017,IL-592G61,TRAVECTIO00047VIN,7.24,3.66,0.59,0.15,2242.15,0.506,1.47,488373,236,active,2025-09-11
T0048,1025,1025-048,Peterbilt,579,2017,FL-499I68,TRAVECTIO00048VIN,7.15,3.99,0.78,0.25,2421.0,0.558,1.83,465026,341,active,2025-09-11
T0049,1002,1002-049,Volvo,VNL,2022,CA-902R94,TRAVECTIO00049VIN,6.9,4.19,0.75,0.14,2219.54,0.607,1.719,370451,253,shop,2025-09-11
T0050,1069,1069-050,Peterbilt,579,2014,AR-322B84,TRAVECTIO00050VIN,8.2,3.56,0.66,0.22,1922.84,0.434,1.506,414606,492,standby,2025-09-11
T0051,1080,1080-051,Freightliner,Cascadia,2022,VA-158B84,TRAVECTIO00051VIN,6.26,4.1,1.01,0.12,1865.86,0.655,1.972,487178,437,shop,2025-09-11
T0052,1001,1001-052,International,LT,2024,MO-261B75,TRAVECTIO00052VIN,7.13,3.94,0.76,0.17,2148.07,0.553,1.698,565665,578,active,2025-09-11
T0053,1060,1060-053,Peterbilt,579,2012,IA-169V40,TRAVECTIO00053VIN,6.35,3.52,1.06,0.14,2164.69,0.554,1.97,646694,530,shop,2025-09-11
T0054,1031,1031-054,Freightliner,Cascadia,2020,LA-692T15,TRAVECTIO00054VIN,6.36,4.2,0.7,0.17,2851.36,0.66,1.815,380198,288,standby,2025-09-11
T0055,1075,1075-055,Freightliner,Cascadia,2017,CO-697S76,TRAVECTIO00055VIN,6.28,3.57,0.66,0.19,2213.63,0.568,1.639,263292,409,active,2025-09-11
T0056,1022,1022-056,Kenworth,T680,2014,CO-833K40,TRAVECTIO00056VIN,7.47,3.3,0.9,0.12,2349.62,0.442,1.697,650708,417,active,2025-09-11
T0057,1080,1080-057,Volvo,VNL,2013,CO-760J68,TRAVECTIO00057VIN,6.24,3.98,0.76,0.21,2423.33,0.638,1.85,339519,395,active,2025-09-11
T0058,1050,1050-058,Freightliner,Cascadia,2011,IN-736S22,TRAVECTIO00058VIN,5.67,3.96,0.66,0.24,1838.44,0.698,1.782,580957,434,active,2025-09-11
T0059,1114,1114-059,International,LT,2014,MO-371E54,TRAVECTIO00059VIN,5.93,3.89,0.77,0.3,2685.24,0.656,1.995,497198,397,active,2025-09-11
T0060,1012,1012-060,Peterbilt,579,2016,AR-261O79,TRAVECTIO00060VIN,6.55,4.05,0.83,0.23,2139.01,0.618,1.892,355681,260,active,2025-09-11
T0061,1043,1043-061,International,LT,2023,OK-641A95,TRAVECTIO00061VIN,5.33,4.18,0.49,0.2,1758.65,0.784,1.65,749159,379,standby,2025-09-11
T0062,1011,1011-062,Kenworth,T680,2021,NC-999E43,TRAVECTIO00062VIN,7.47,4.03,0.86,0.17,2160.44,0.539,1.785,482087,408,active,2025-09-11
T0063,1113,1113-063,Freightliner,Cascadia,2022,WI-259I46,TRAVECTIO00063VIN,6.27,4.35,0.66,0.21,2130.02,0.694,1.777,342183,382,standby,2025-09-11
T0064,1107,1107-064,Peterbilt,579,2022,VA-308V91,TRAVECTIO00064VIN,6.79,4.38,0.75,0.22,2389.88,0.645,1.854,616824,430,active,2025-09-11
T0065,1034,1034-065,International,LT,2018,MS-966B21,TRAVECTIO00065VIN,6.81,3.54,0.71,0.15,1773.95,0.52,1.557,427563,385,shop,2025-09-11
T0066,1076,1076-066,Kenworth,T680,2011,FL-441Y26,TRAVECTIO00066VIN,7.22,3.98,0.76,0.08,2394.6,0.551,1.63,337279,367,active,2025-09-11
T0067,1097,1097-067,Peterbilt,579,2022,IN-664W64,TRAVECTIO00067VIN,5.83,4.21,0.9,0.17,2812.3,0.722,2.073,628887,393,standby,2025-09-11
T0068,1067,1067-068,Freightliner,Cascadia,2012,AL-807E79,TRAVECTIO00068VIN,6.53,3.79,0.7,0.19,2079.01,0.58,1.678,469268,380,active,2025-09-11
T0069,1062,1062-069,Kenworth,T680,2020,WI-251N26,TRAVECTIO00069VIN,7.15,4.42,0.57,0.05,2579.82,0.618,1.496,562118,256,active,2025-09-11
T0070,1033,1033-070,Kenworth,T680,2016,NJ-915B55,TRAVECTIO00070VIN,6.62,3.59,0.81,0.22,1479.21,0.542,1.72,380818,146,active,2025-09-11
T0071,1011,1011-071,Mack,Anthem,2014,CO-205L81,TRAVECTIO00071VIN,6.36,4.14,0.77,0.18,1608.44,0.651,1.762,519514,390,shop,2025-09-11
T0072,1112,1112-072,International,LT,2022,SC-342F32,TRAVECTIO00072VIN,6.02,4.42,0.75,0.13,2136.59,0.734,1.828,396806,300,shop,2025-09-11
T0073,1112,1112-073,Freightliner,Cascadia,2013,CA-440Z62,TRAVECTIO00073VIN,6.66,4.6,0.56,0.25,1651.24,0.691,1.666,424881,319,active,2025-09-11
T0074,1074,1074-074,Kenworth,T680,2013,UT-818D58,TRAVECTIO00074VIN,7.63,3.79,0.83,0.16,2930.4,0.497,1.78,708876,325,active,2025-09-11
T0075,1043,1043-075,Volvo,VNL,2014,TX-936O54,TRAVECTIO00075VIN,7.39,4.1,0.94,0.18,2720.7,0.555,1.947,359589,421,active,2025-09-11
T0076,1044,1044-076,Peterbilt,579,2014,FL-775G61,TRAVECTIO00076VIN,6.26,4.7,0.71,0.19,2254.61,0.751,1.876,288344,292,active,2025-09-11
T0077,1087,1087-077,Kenworth,T680,2024,AL-891I54,TRAVECTIO00077VIN,7.76,3.77,0.81,0.24,1781.24,0.486,1.714,536274,469,standby,2025-09-11
T0078,1112,1112-078,Volvo,VNL,2021,NM-649K13,TRAVECTIO00078VIN,6.19,3.5,0.71,0.17,2800.53,0.565,1.725,609383,430,active,2025-09-11
T0079,1110,1110-079,Kenworth,T680,2013,MN-371B23,TRAVECTIO00079VIN,7.16,4.76,0.86,0.18,1942.59,0.665,1.899,482231,517,standby,2025-09-11
T0080,1092,1092-080,Volvo,VNL,2016,CA-905K65,TRAVECTIO00080VIN,7.21,4.19,0.71,0.14,2629.0,0.581,1.694,324622,203,standby,2025-09-11
T0081,1074,1074-081,International,LT,2012,OH-690G42,TRAVECTIO00081VIN,8.44,3.61,0.72,0.2,2111.5,0.428,1.559,547888,457,active,2025-09-11
T0082,1009,1009-082,Mack,Anthem,2017,FL-632Z78,TRAVECTIO00082VIN,6.33,3.94,0.72,0.26,2313.03,0.622,1.833,508916,446,active,2025-09-11
T0083,1019,1019-083,Kenworth,T680,2017,AL-780K89,TRAVECTIO00083VIN,7.33,4.41,0.59,0.2,2272.41,0.602,1.619,371837,332,active,2025-09-11
T0084,1112,1112-084,Mack,Anthem,2024,NC-837J74,TRAVECTIO00084VIN,7.27,4.43,0.79,0.27,2208.51,0.609,1.89,478890,614,active,2025-09-11
T0085,1070,1070-085,Mack,Anthem,2017,VA-512W47,TRAVECTIO00085VIN,7.25,3.38,0.8,0.24,2501.34,0.466,1.756,530781,367,standby,2025-09-11
T0086,1001,1001-086,Peterbilt,579,2014,MI-780M96,TRAVECTIO00086VIN,5.82,3.93,0.68,0.21,1859.79,0.675,1.751,650388,415,active,2025-09-11
T0087,1011,1011-087,International,LT,2020,AR-515R10,TRAVECTIO00087VIN,5.84,4.16,0.68,0.17,2678.65,0.712,1.83,451762,309,active,2025-09-11
T0088,1076,1076-088,Kenworth,T680,2014,MI-904S87,TRAVECTIO00088VIN,7.32,3.96,0.64,0.16,2367.81,0.541,1.578,536685,346,active,2025-09-11
T0089,1001,1001-089,Volvo,VNL,2018,IN-791G75,TRAVECTIO00089VIN,8.18,3.86,0.86,0.11,2289.87,0.472,1.671,238702,242,shop,2025-09-11
T0090,1018,1018-090,Mack,Anthem,2013,CO-186J75,TRAVECTIO00090VIN,7.81,3.81,0.68,0.19,3223.28,0.488,1.68,635053,560,standby,2025-09-11
T0091,1067,1067-091,Kenworth,T680,2012,NM-869H96,TRAVECTIO00091VIN,8.45,4.42,0.82,0.22,2609.63,0.523,1.824,383857,306,active,2025-09-11
T0092,1081,1081-092,Peterbilt,579,2023,TX-250A15,TRAVECTIO00092VIN,6.8,3.94,0.83,0.23,2018.71,0.579,1.841,460608,512,active,2025-09-11
T0093,1075,1075-093,Volvo,VNL,2020,NY-886C68,TRAVECTIO00093VIN,5.89,3.93,0.53,0.18,1913.27,0.667,1.568,435390,516,shop,2025-09-11
T0094,1030,1030-094,Mack,Anthem,2020,TX-835W59,TRAVECTIO00094VIN,7.3,3.64,0.9,0.21,2941.64,0.499,1.903,422821,293,shop,2025-09-11
T0095,1086,1086-095,Volvo,VNL,2014,SC-771W10,TRAVECTIO00095VIN,6.5,4.38,0.94,0.16,2953.83,0.674,2.069,315645,392,active,2025-09-11
T0096,1033,1033-096,Volvo,VNL,2014,TN-923W76,TRAVECTIO00096VIN,5.39,4.11,0.69,0.1,2140.96,0.763,1.767,511632,332,shop,2025-09-11
T0097,1041,1041-097,Freightliner,Cascadia,2019,LA-968D68,TRAVECTIO00097VIN,5.86,2.99,0.96,0.26,2188.99,0.51,1.949,395148,325,active,2025-09-11
T0098,1088,1088-098,Volvo,VNL,2021,MO-672T50,TRAVECTIO00098VIN,7.18,3.65,0.84,0.24,2320.72,0.508,1.82,437981,361,shop,2025-09-11
T0099,1075,1075-099,International,LT,2024,CA-616N80,TRAVECTIO00099VIN,6.1,3.71,0.79,0.23,2109.41,0.608,1.839,353618,514,shop,2025-09-11
T0100,1104,1104-100,Peterbilt,579,2022,NY-586O43,TRAVECTIO00100VIN,6.58,3.99,0.46,0.22,1901.12,0.606,1.476,538421,354,active,2025-09-11
T0101,1076,1076-101,Mack,Anthem,2015,NV-896Q72,TRAVECTIO00101VIN,6.85,4.18,0.69,0.22,1574.98,0.61,1.677,299485,406,active,2025-09-11
T0102,1069,1069-102,Kenworth,T680,2018,AL-830J40,TRAVECTIO00102VIN,5.71,4.16,0.56,0.24,2185.74,0.729,1.748,361849,307,active,2025-09-11
T0103,1011,1011-103,Kenworth,T680,2016,NJ-653C27,TRAVECTIO00103VIN,6.96,4.4,0.76,0.2,1793.67,0.632,1.771,533172,395,active,2025-09-11
T0104,1047,1047-104,Peterbilt,579,2017,AZ-256W37,TRAVECTIO00104VIN,6.51,3.71,0.62,0.03,2234.46,0.57,1.443,502387,461,active,2025-09-11
T0105,1034,1034-105,Volvo,VNL,2017,VA-655O63,TRAVECTIO00105VIN,4.91,3.65,1.0,0.18,2447.66,0.743,2.168,362639,363,active,2025-09-11
T0106,1033,1033-106,Peterbilt,579,2024,MI-498Y84,TRAVECTIO00106VIN,7.9,3.77,0.69,0.13,1880.32,0.477,1.485,464720,526,active,2025-09-11
T0107,1118,1118-107,International,LT,2017,IL-106L48,TRAVECTIO00107VIN,7.06,3.91,0.56,0.22,2083.28,0.554,1.542,440659,363,shop,2025-09-11
T0108,1050,1050-108,Volvo,VNL,2019,CA-852R87,TRAVECTIO00108VIN,9.35,4.1,0.7,0.24,1899.28,0.439,1.569,463592,250,active,2025-09-11
T0109,1112,1112-109,Volvo,VNL,2014,MS-546P13,TRAVECTIO00109VIN,7.54,3.77,0.88,0.16,2949.32,0.5,1.835,603721,386,shop,2025-09-11
T0110,1073,1073-110,Kenworth,T680,2021,CO-917M31,TRAVECTIO00110VIN,7.48,4.17,0.67,0.23,1861.46,0.557,1.643,409826,343,shop,2025-09-11
T0111,1094,1094-111,Peterbilt,579,2020,WI-127M85,TRAVECTIO00111VIN,6.04,4.15,0.62,0.18,3025.01,0.687,1.79,619466,372,standby,2025-09-11
T0112,1057,1057-112,Mack,Anthem,2011,AL-758N27,TRAVECTIO00112VIN,7.16,3.63,0.73,0.23,2371.32,0.507,1.704,592486,613,shop,2025-09-11
T0113,1069,1069-113,Peterbilt,579,2011,MS-488K37,TRAVECTIO00113VIN,7.26,4.11,0.71,0.2,2277.75,0.566,1.704,414551,395,shop,2025-09-11
T0114,1055,1055-114,Kenworth,T680,2016,NV-488I63,TRAVECTIO00114VIN,7.85,3.65,0.91,0.17,2655.95,0.465,1.811,195377,325,active,2025-09-11
T0115,1025,1025-115,Freightliner,Cascadia,2018,FL-867R16,TRAVECTIO00115VIN,7.84,3.99,0.69,0.22,1800.28,0.509,1.599,515608,358,active,2025-09-11
T0116,1086,1086-116,Peterbilt,579,2021,AL-899U15,TRAVECTIO00116VIN,6.51,3.86,0.94,0.16,1831.04,0.593,1.876,596059,516,active,2025-09-11
T0117,1034,1034-117,Peterbilt,579,2014,NM-120T29,TRAVECTIO00117VIN,7.6,3.85,0.75,0.13,2361.49,0.507,1.623,488923,273,active,2025-09-11
T0118,1001,1001-118,Peterbilt,579,2018,CO-217S37,TRAVECTIO00118VIN,7.75,3.84,0.78,0.17,2280.46,0.495,1.673,520403,337,shop,2025-09-11
T0119,1075,1075-119,Mack,Anthem,2015,NV-477F87,TRAVECTIO00119VIN,7.5,3.53,0.98,0.13,2250.55,0.471,1.806,368670,426,standby,2025-09-11
T0120,1023,1023-120,Mack,Anthem,2022,NC-896F49,TRAVECTIO00120VIN,6.94,4.12,0.83,0.24,2395.67,0.594,1.904,499178,358,active,2025-09-11
T0121,1115,1115-121,International,LT,2011,MA-419S96,TRAVECTIO00121VIN,7.34,4.66,0.63,0.24,2146.95,0.635,1.72,435554,184,shop,2025-09-11
T0122,1115,1115-122,Volvo,VNL,2022,TX-177S98,TRAVECTIO00122VIN,7.48,3.81,0.79,0.19,2163.79,0.509,1.705,535134,340,active,2025-09-11
T0123,1113,1113-123,Freightliner,Cascadia,2022,NV-408V86,TRAVECTIO00123VIN,7.21,3.91,0.82,0.13,2495.52,0.542,1.742,580317,331,active,2025-09-11
T0124,1047,1047-124,International,LT,2023,GA-455R64,TRAVECTIO00124VIN,7.45,4.13,0.72,0.16,2935.27,0.554,1.728,447669,352,active,2025-09-11
T0125,1001,1001-125,Freightliner,Cascadia,2019,OK-449A63,TRAVECTIO00125VIN,7.44,3.43,0.62,0.23,1778.53,0.461,1.489,655273,370,shop,2025-09-11
T0126,1113,1113-126,Freightliner,Cascadia,2017,PA-750O29,TRAVECTIO00126VIN,6.66,4.02,0.64,0.19,2664.75,0.604,1.7,567023,425,shop,2025-09-11
T0127,1052,1052-127,Peterbilt,579,2022,MO-766I88,TRAVECTIO00127VIN,6.95,4.35,0.83,0.15,1118.71,0.626,1.718,230324,426,standby,2025-09-11
T0128,1116,1116-128,Volvo,VNL,2018,MI-945X85,TRAVECTIO00128VIN,7.9,3.95,0.94,0.25,2581.15,0.5,1.948,646795,446,active,2025-09-11
T0129,1116,1116-129,Kenworth,T680,2024,LA-950C45,TRAVECTIO00129VIN,6.86,3.44,0.65,0.29,2101.58,0.501,1.651,428893,391,shop,2025-09-11
T0130,1104,1104-130,Peterbilt,579,2023,IN-683T95,TRAVECTIO00130VIN,7.24,4.02,0.68,0.19,2878.02,0.555,1.713,360903,261,shop,2025-09-11
T0131,1035,1035-131,Kenworth,T680,2011,IL-971K33,TRAVECTIO00131VIN,6.31,3.99,0.67,0.11,2028.28,0.632,1.615,440027,244,shop,2025-09-11
T0132,1050,1050-132,Peterbilt,579,2016,UT-364K45,TRAVECTIO00132VIN,7.41,4.03,0.71,0.14,1616.98,0.544,1.556,488300,500,standby,2025-09-11
T0133,1104,1104-133,Mack,Anthem,2015,WI-110Q34,TRAVECTIO00133VIN,5.3,4.04,0.83,0.19,2135.95,0.762,1.996,359763,351,active,2025-09-11
T0134,1039,1039-134,Peterbilt,579,2022,MI-600R40,TRAVECTIO00134VIN,6.16,4.38,0.98,0.18,2208.52,0.711,2.092,364991,243,shop,2025-09-11
T0135,1020,1020-135,Mack,Anthem,2022,IL-558Z12,TRAVECTIO00135VIN,5.36,3.45,0.81,0.1,2306.85,0.644,1.785,557404,336,active,2025-09-11
T0136,1067,1067-136,Kenworth,T680,2014,OH-808H49,TRAVECTIO00136VIN,6.92,4.56,0.72,0.14,2558.74,0.659,1.775,191782,315,standby,2025-09-11
T0137,1114,1114-137,Kenworth,T680,2018,WI-643L64,TRAVECTIO00137VIN,6.63,3.65,0.76,0.17,2147.5,0.551,1.696,371999,395,standby,2025-09-11
T0138,1081,1081-138,Kenworth,T680,2016,AZ-564I49,TRAVECTIO00138VIN,7.15,3.62,0.74,0.18,2764.37,0.506,1.702,534985,400,active,2025-09-11
T0139,1069,1069-139,Peterbilt,579,2012,CA-297K25,TRAVECTIO00139VIN,7.56,4.1,0.79,0.12,1955.03,0.542,1.648,463027,377,standby,2025-09-11
T0140,1011,1011-140,Mack,Anthem,2013,TX-321X71,TRAVECTIO00140VIN,6.63,3.96,0.68,0.18,1447.26,0.597,1.602,469182,287,active,2025-09-11
T0141,1071,1071-141,Mack,Anthem,2020,NV-637T46,TRAVECTIO00141VIN,7.81,3.7,0.8,0.15,2587.78,0.474,1.683,663037,272,active,2025-09-11
T0142,1118,1118-142,Peterbilt,579,2015,LA-469F48,TRAVECTIO00142VIN,7.54,4.35,0.92,0.17,1931.75,0.577,1.86,484643,403,active,2025-09-11
T0143,1013,1013-143,Mack,Anthem,2019,SC-380B16,TRAVECTIO00143VIN,6.69,4.28,0.54,0.25,2517.4,0.64,1.682,250500,472,standby,2025-09-11
T0144,1062,1062-144,Kenworth,T680,2022,SC-753Y72,TRAVECTIO00144VIN,7.7,3.62,0.62,0.17,2035.67,0.47,1.464,413035,450,active,2025-09-11
T0145,1107,1107-145,Freightliner,Cascadia,2020,AR-580P66,TRAVECTIO00145VIN,7.85,4.49,0.72,0.1,1975.13,0.572,1.59,353295,466,active,2025-09-11
T0146,1088,1088-146,Peterbilt,579,2011,MS-982P24,TRAVECTIO00146VIN,8.09,3.57,0.75,0.19,1963.01,0.441,1.577,352847,418,active,2025-09-11
T0147,1081,1081-147,Volvo,VNL,2018,AL-690U97,TRAVECTIO00147VIN,6.42,3.99,0.75,0.16,2418.51,0.621,1.773,436846,372,active,2025-09-11
T0148,1082,1082-148,Peterbilt,579,2013,UT-676J20,TRAVECTIO00148VIN,6.5,3.91,0.82,0.17,2839.46,0.602,1.876,533634,349,active,2025-09-11
T0149,1045,1045-149,Freightliner,Cascadia,2019,NV-526T86,TRAVECTIO00149VIN,7.74,4.13,0.8,0.1,2157.08,0.534,1.65,314787,272,standby,2025-09-11
T0150,1035,1035-150,Peterbilt,579,2023,MO-489O66,TRAVECTIO00150VIN,6.91,4.61,0.83,0.21,3092.52,0.667,2.016,233873,331,active,2025-09-11
T0151,1096,1096-151,International,LT,2017,AR-682T17,TRAVECTIO00151VIN,6.17,3.78,0.69,0.08,2132.74,0.613,1.596,539749,283,standby,2025-09-11
T0152,1096,1096-152,Mack,Anthem,2012,NV-312U37,TRAVECTIO00152VIN,6.99,4.73,0.45,0.17,1832.25,0.677,1.48,582115,556,active,2025-09-11
T0153,1106,1106-153,Mack,Anthem,2012,TN-345F80,TRAVECTIO00153VIN,5.82,4.17,0.74,0.31,2013.88,0.716,1.967,269643,402,active,2025-09-11
T0154,1112,1112-154,Peterbilt,579,2011,MI-561W86,TRAVECTIO00154VIN,7.17,4.38,0.79,0.16,2239.19,0.611,1.785,482295,349,shop,2025-09-11
T0155,1060,1060-155,Kenworth,T680,2011,LA-395W46,TRAVECTIO00155VIN,7.3,3.87,0.75,0.24,2350.84,0.53,1.755,443832,220,shop,2025-09-11
